contest_key,contest,category_key,category,county,county_eid,county_cid,county_precincts_total,county_precincts_reporting,county_total_votes,candidate_index,candidate,party,votes,pct
100,U.S. PRESIDENT,C_0,Results,Barbour,122767,0004,13,13,6395,0,DONALD J. TRUMP,REP,5071,79.29632525410477
100,U.S. PRESIDENT,C_0,Results,Barbour,122767,0004,13,13,6395,1,KAMALA D. HARRIS,DEM,1199,18.749022673964035
100,U.S. PRESIDENT,C_0,Results,Barbour,122767,0004,13,13,6395,2,ROBERT F. KENNEDY JR.,IND,91,1.422986708365911
100,U.S. PRESIDENT,C_0,Results,Barbour,122767,0004,13,13,6395,3,CHASE OLIVER,LBN,20,0.3127443315089914
100,U.S. PRESIDENT,C_0,Results,Barbour,122767,0004,13,13,6395,4,JILL STEIN,MTN,14,0.21892103205629398
100,U.S. PRESIDENT,C_0,Results,Berkeley,122768,0004,80,80,56102,0,DONALD J. TRUMP,REP,37580,66.98513421981392
100,U.S. PRESIDENT,C_0,Results,Berkeley,122768,0004,80,80,56102,1,KAMALA D. HARRIS,DEM,17500,31.193183843713236
100,U.S. PRESIDENT,C_0,Results,Berkeley,122768,0004,80,80,56102,2,ROBERT F. KENNEDY JR.,IND,544,0.9696624006274286
100,U.S. PRESIDENT,C_0,Results,Berkeley,122768,0004,80,80,56102,3,CHASE OLIVER,LBN,262,0.46700652383159247
100,U.S. PRESIDENT,C_0,Results,Berkeley,122768,0004,80,80,56102,4,JILL STEIN,MTN,216,0.385013012013832
100,U.S. PRESIDENT,C_0,Results,Boone,122769,0004,26,26,8142,0,DONALD J. TRUMP,REP,6314,77.54851387865389
100,U.S. PRESIDENT,C_0,Results,Boone,122769,0004,26,26,8142,1,KAMALA D. HARRIS,DEM,1641,20.154753131908624
100,U.S. PRESIDENT,C_0,Results,Boone,122769,0004,26,26,8142,2,ROBERT F. KENNEDY JR.,IND,131,1.6089412920658315
100,U.S. PRESIDENT,C_0,Results,Boone,122769,0004,26,26,8142,3,CHASE OLIVER,LBN,41,0.5035617784328175
100,U.S. PRESIDENT,C_0,Results,Boone,122769,0004,26,26,8142,4,JILL STEIN,MTN,15,0.18422991893883567
100,U.S. PRESIDENT,C_0,Results,Braxton,122770,0004,18,18,5313,0,DONALD J. TRUMP,REP,3991,75.1176359872012
100,U.S. PRESIDENT,C_0,Results,Braxton,122770,0004,18,18,5313,1,KAMALA D. HARRIS,DEM,1233,23.20722755505364
100,U.S. PRESIDENT,C_0,Results,Braxton,122770,0004,18,18,5313,2,ROBERT F. KENNEDY JR.,IND,56,1.0540184453227932
100,U.S. PRESIDENT,C_0,Results,Braxton,122770,0004,18,18,5313,3,CHASE OLIVER,LBN,19,0.35761340109166195
100,U.S. PRESIDENT,C_0,Results,Braxton,122770,0004,18,18,5313,4,JILL STEIN,MTN,14,0.2635046113306983
100,U.S. PRESIDENT,C_0,Results,Brooke,122771,0004,21,21,9782,0,DONALD J. TRUMP,REP,6986,71.41688816193007
100,U.S. PRESIDENT,C_0,Results,Brooke,122771,0004,21,21,9782,1,KAMALA D. HARRIS,DEM,2621,26.79411163361276
100,U.S. PRESIDENT,C_0,Results,Brooke,122771,0004,21,21,9782,2,ROBERT F. KENNEDY JR.,IND,119,1.216520139030873
100,U.S. PRESIDENT,C_0,Results,Brooke,122771,0004,21,21,9782,3,CHASE OLIVER,LBN,33,0.33735432426906564
100,U.S. PRESIDENT,C_0,Results,Brooke,122771,0004,21,21,9782,4,JILL STEIN,MTN,23,0.23512574115722756
100,U.S. PRESIDENT,C_0,Results,Cabell,122772,0004,68,68,35429,0,DONALD J. TRUMP,REP,21229,59.919839679358724
100,U.S. PRESIDENT,C_0,Results,Cabell,122772,0004,68,68,35429,1,KAMALA D. HARRIS,DEM,13474,38.03099156058596
100,U.S. PRESIDENT,C_0,Results,Cabell,122772,0004,68,68,35429,2,ROBERT F. KENNEDY JR.,IND,418,1.1798244376076095
100,U.S. PRESIDENT,C_0,Results,Cabell,122772,0004,68,68,35429,3,CHASE OLIVER,LBN,163,0.4600750797369386
100,U.S. PRESIDENT,C_0,Results,Cabell,122772,0004,68,68,35429,4,JILL STEIN,MTN,145,0.40926924271077364
100,U.S. PRESIDENT,C_0,Results,Calhoun,122773,0004,10,10,2936,0,DONALD J. TRUMP,REP,2391,81.43732970027247
100,U.S. PRESIDENT,C_0,Results,Calhoun,122773,0004,10,10,2936,1,KAMALA D. HARRIS,DEM,488,16.62125340599455
100,U.S. PRESIDENT,C_0,Results,Calhoun,122773,0004,10,10,2936,2,ROBERT F. KENNEDY JR.,IND,43,1.4645776566757494
100,U.S. PRESIDENT,C_0,Results,Calhoun,122773,0004,10,10,2936,3,CHASE OLIVER,LBN,8,0.2724795640326975
100,U.S. PRESIDENT,C_0,Results,Calhoun,122773,0004,10,10,2936,4,JILL STEIN,MTN,6,0.20435967302452315
100,U.S. PRESIDENT,C_0,Results,Clay,122774,0004,11,11,3240,0,DONALD J. TRUMP,REP,2597,80.15432098765433
100,U.S. PRESIDENT,C_0,Results,Clay,122774,0004,11,11,3240,1,KAMALA D. HARRIS,DEM,580,17.901234567901234
100,U.S. PRESIDENT,C_0,Results,Clay,122774,0004,11,11,3240,2,ROBERT F. KENNEDY JR.,IND,47,1.4506172839506173
100,U.S. PRESIDENT,C_0,Results,Clay,122774,0004,11,11,3240,3,CHASE OLIVER,LBN,10,0.30864197530864196
100,U.S. PRESIDENT,C_0,Results,Clay,122774,0004,11,11,3240,4,JILL STEIN,MTN,6,0.1851851851851852
100,U.S. PRESIDENT,C_0,Results,Doddridge,122775,0004,12,12,2956,0,DONALD J. TRUMP,REP,2541,85.96075778078485
100,U.S. PRESIDENT,C_0,Results,Doddridge,122775,0004,12,12,2956,1,KAMALA D. HARRIS,DEM,374,12.652232746955344
100,U.S. PRESIDENT,C_0,Results,Doddridge,122775,0004,12,12,2956,2,ROBERT F. KENNEDY JR.,IND,24,0.8119079837618403
100,U.S. PRESIDENT,C_0,Results,Doddridge,122775,0004,12,12,2956,3,CHASE OLIVER,LBN,9,0.3044654939106901
100,U.S. PRESIDENT,C_0,Results,Doddridge,122775,0004,12,12,2956,4,JILL STEIN,MTN,8,0.2706359945872801
100,U.S. PRESIDENT,C_0,Results,Fayette,122776,0004,40,40,15620,0,DONALD J. TRUMP,REP,10910,69.84635083226632
100,U.S. PRESIDENT,C_0,Results,Fayette,122776,0004,40,40,15620,1,KAMALA D. HARRIS,DEM,4387,28.085787451984633
100,U.S. PRESIDENT,C_0,Results,Fayette,122776,0004,40,40,15620,2,ROBERT F. KENNEDY JR.,IND,212,1.357234314980794
100,U.S. PRESIDENT,C_0,Results,Fayette,122776,0004,40,40,15620,3,CHASE OLIVER,LBN,54,0.34571062740076824
100,U.S. PRESIDENT,C_0,Results,Fayette,122776,0004,40,40,15620,4,JILL STEIN,MTN,57,0.3649167733674776
100,U.S. PRESIDENT,C_0,Results,Gilmer,122777,0004,10,10,2344,0,DONALD J. TRUMP,REP,1822,77.73037542662115
100,U.S. PRESIDENT,C_0,Results,Gilmer,122777,0004,10,10,2344,1,KAMALA D. HARRIS,DEM,486,20.733788395904437
100,U.S. PRESIDENT,C_0,Results,Gilmer,122777,0004,10,10,2344,2,ROBERT F. KENNEDY JR.,IND,23,0.9812286689419796
100,U.S. PRESIDENT,C_0,Results,Gilmer,122777,0004,10,10,2344,3,CHASE OLIVER,LBN,6,0.25597269624573377
100,U.S. PRESIDENT,C_0,Results,Gilmer,122777,0004,10,10,2344,4,JILL STEIN,MTN,7,0.2986348122866894
100,U.S. PRESIDENT,C_0,Results,Grant,122778,0004,14,14,5568,0,DONALD J. TRUMP,REP,4949,88.88290229885058
100,U.S. PRESIDENT,C_0,Results,Grant,122778,0004,14,14,5568,1,KAMALA D. HARRIS,DEM,552,9.913793103448276
100,U.S. PRESIDENT,C_0,Results,Grant,122778,0004,14,14,5568,2,ROBERT F. KENNEDY JR.,IND,46,0.8261494252873564
100,U.S. PRESIDENT,C_0,Results,Grant,122778,0004,14,14,5568,3,CHASE OLIVER,LBN,11,0.19755747126436785
100,U.S. PRESIDENT,C_0,Results,Grant,122778,0004,14,14,5568,4,JILL STEIN,MTN,10,0.17959770114942528
100,U.S. PRESIDENT,C_0,Results,Greenbrier,122779,0004,28,28,14996,0,DONALD J. TRUMP,REP,10517,70.13203520938916
100,U.S. PRESIDENT,C_0,Results,Greenbrier,122779,0004,28,28,14996,1,KAMALA D. HARRIS,DEM,4196,27.980794878634303
100,U.S. PRESIDENT,C_0,Results,Greenbrier,122779,0004,28,28,14996,2,ROBERT F. KENNEDY JR.,IND,187,1.24699919978661
100,U.S. PRESIDENT,C_0,Results,Greenbrier,122779,0004,28,28,14996,3,CHASE OLIVER,LBN,55,0.36676447052547345
100,U.S. PRESIDENT,C_0,Results,Greenbrier,122779,0004,28,28,14996,4,JILL STEIN,MTN,41,0.2734062416644438
100,U.S. PRESIDENT,C_0,Results,Hampshire,122780,0004,25,25,10500,0,DONALD J. TRUMP,REP,8464,80.60952380952381
100,U.S. PRESIDENT,C_0,Results,Hampshire,122780,0004,25,25,10500,1,KAMALA D. HARRIS,DEM,1890,18.0
100,U.S. PRESIDENT,C_0,Results,Hampshire,122780,0004,25,25,10500,2,ROBERT F. KENNEDY JR.,IND,101,0.9619047619047619
100,U.S. PRESIDENT,C_0,Results,Hampshire,122780,0004,25,25,10500,3,CHASE OLIVER,LBN,23,0.21904761904761905
100,U.S. PRESIDENT,C_0,Results,Hampshire,122780,0004,25,25,10500,4,JILL STEIN,MTN,22,0.20952380952380953
100,U.S. PRESIDENT,C_0,Results,Hancock,122781,0004,24,24,13030,0,DONALD J. TRUMP,REP,9462,72.61703760552571
100,U.S. PRESIDENT,C_0,Results,Hancock,122781,0004,24,24,13030,1,KAMALA D. HARRIS,DEM,3360,25.786646201074443
100,U.S. PRESIDENT,C_0,Results,Hancock,122781,0004,24,24,13030,2,ROBERT F. KENNEDY JR.,IND,129,0.9900230237912511
100,U.S. PRESIDENT,C_0,Results,Hancock,122781,0004,24,24,13030,3,CHASE OLIVER,LBN,40,0.3069838833461243
100,U.S. PRESIDENT,C_0,Results,Hancock,122781,0004,24,24,13030,4,JILL STEIN,MTN,39,0.2993092862624712
100,U.S. PRESIDENT,C_0,Results,Hardy,122782,0004,14,14,6411,0,DONALD J. TRUMP,REP,4997,77.9441584776166
100,U.S. PRESIDENT,C_0,Results,Hardy,122782,0004,14,14,6411,1,KAMALA D. HARRIS,DEM,1297,20.23085322102636
